ts	imei	mwra	c.android.chrome	c.android.youtube	c.dogalize	c.android.gm	c.katana	c.UCMobile.intl	c.UCMobile.x86	c.raider	c.updateassist	c.android.vending
2018-05-05 10:00:00	863033069630348727	0.00000	9.60395	12.85710	14.28416	8.18164	12.05903	51.17664	65.36801	90.61716	26.55309	94.42555
2018-05-05 10:01:00	359043379931766122	1.00000	10.90381	13.52655	15.47703	12.35803	9.31984	52.40056	57.22735	52.52705	57.31544	75.44486
2018-05-05 10:02:00	359043379931766312	0.00000	7.96027	13.93330	11.48817	10.58834	16.41358	24.55276	80.27819	91.63614	49.51560	93.00705
2018-05-05 10:03:00	8630330696303482329	0.00000	7.96574	14.28029	11.68449	13.39682	14.09485	44.81360	34.26693	56.53248	4.51390	27.06048
2018-05-05 10:04:00	3590433799317661099	1.00000	12.77276	10.43295	10.16739	12.20800	6.18137	34.43871	59.20602	79.33347	27.09736	81.58699
2018-05-05 10:05:00	3590433799317661883	1.00000	9.52798	16.79648	10.42571	7.64290	13.77176	33.91812	54.89555	24.31419	12.86841	13.86982
2018-05-05 10:06:00	8630330696303482360	1.00000	9.67195	12.76565	12.23751	16.54662	9.47371	33.15397	47.49257	8.55149	30.41490	60.23305
2018-05-05 10:07:00	8630330696303481719	0.00000	9.10795	9.75661	14.76618	6.35027	11.63955	74.73977	37.14760	93.70809	34.55467	16.85573
2018-05-05 10:08:00	359043379931766361	1.00000	5.38617	13.76654	9.89549	12.17447	10.53683	28.95644	14.40245	56.69680	50.58370	10.77892
2018-05-05 10:09:00	863033069630348701	1.00000	15.95403	10.94238	12.05347	11.54591	10.16720	30.38791	44.17663	36.72006	30.52545	4.00910
2018-05-05 10:10:00	3590433799317662352	0.00000	7.57607	14.70400	9.76627	14.49758	11.98631	45.67143	32.15793	54.98478	6.33305	69.90712
2018-05-05 10:11:00	3590433799317661917	1.00000	15.17522	11.03838	9.58569	11.22719	7.50090	54.09790	62.69002	91.53423	39.17962	79.65075
2018-05-05 10:12:00	863033069630348222	1.00000	12.67810	14.01737	9.00410	9.98497	10.45011	42.18703	27.25571	60.29390	6.28663	31.58555
2018-05-05 10:13:00	359043379931766130	1.00000	11.48049	13.42434	18.10740	13.69690	8.12824	34.79339	54.16211	72.13529	98.23372	14.62377
2018-05-05 10:14:00	863033069630348099	1.00000	12.14071	10.51061	11.82909	15.29829	7.84378	54.63659	56.25876	79.36182	26.26440	27.08462
2018-05-05 10:15:00	863033069630348594	1.00000	10.52124	11.24854	11.04487	8.86612	8.68238	55.85146	42.49012	58.77587	19.62303	23.99244
2018-05-05 10:16:00	3590433799317661982	1.00000	9.70834	15.41565	7.62798	10.11514	11.00572	60.54688	43.90178	65.94162	82.30150	95.03138
2018-05-05 10:17:00	359043379931766205	0.00000	9.03234	11.80661	18.86291	7.20374	11.48579	51.18771	50.57844	96.86155	60.23311	41.91092
2018-05-05 10:18:00	863033069630348396	1.00000	11.44249	15.67022	8.45752	9.83842	10.77813	27.26217	78.92598	33.34040	43.76644	44.66617
2018-05-05 10:19:00	3590433799317661230	1.00000	12.74193	11.37569	10.92126	7.07048	7.24344	40.85239	47.96188	30.54038	85.80562	14.72208
2018-05-05 10:20:00	8630330696303482204	0.00000	5.39512	13.03817	11.14663	11.96538	12.52169	52.45017	60.90233	95.95357	65.41615	55.05232
2018-05-05 10:21:00	8630330696303481982	1.00000	11.28131	10.91996	11.43901	8.04556	7.38211	45.43577	55.24618	45.49416	56.27152	78.08382
2018-05-05 10:22:00	863033069630348305	0.00000	10.68286	10.42802	10.34674	10.16692	12.38924	57.26133	44.40184	72.82827	40.07456	24.06200
