p.android.gm,p.android.documentsui,p.system,p.android.externalstorage,p.android.settings,p.android.chrome,c.katana,c.dogalize,c.android.chrome
14.50294,12.49939,13.93596,12.71345,8.63678,7.59294,12.05903,14.28416,9.60395
9.23023,10.9666,13.66329,14.00354,8.45907,11.54816,9.31984,15.47703,10.90381
11.32397,8.95241,12.02995,9.12135,5.03619,9.25225,16.41358,11.48817,7.96027
12.54341,6.13562,10.88392,10.02552,4.58649,7.6593,14.09485,11.68449,7.96574
9.55446,7.87986,10.99286,10.18964,10.09407,13.85506,6.18137,10.16739,12.77276
5.89546,5.67074,7.03492,14.29046,9.21973,8.27916,13.77176,10.42571,9.52798
9.55576,9.77487,11.74001,8.2369,8.92398,12.7561,9.47371,12.23751,9.67195
11.87483,9.93298,12.09746,11.9757,8.96843,9.43042,11.63955,14.76618,9.10795
13.20934,11.38772,10.64433,8.68109,8.05497,7.32587,10.53683,9.89549,5.38617
8.73436,8.89802,13.3058,11.29658,11.08441,12.199,10.1672,12.05347,15.95403
11.16574,9.69278,7.55119,9.38073,6.86768,6.97617,11.98631,9.76627,7.57607
9.52108,6.99968,10.94994,8.64339,11.60533,13.19046,7.5009,9.58569,15.17522
8.2616,10.31164,7.02026,8.88734,14.32321,9.16095,10.45011,9.0041,12.6781
7.21599,8.27847,14.83276,14.96091,6.30428,10.29235,8.12824,18.1074,11.48049
11.1849,9.73104,14.11157,10.78596,9.58358,10.18792,7.84378,11.82909,12.14071
7.38555,6.07753,8.96709,16.3843,10.54375,10.12129,8.68238,11.04487,10.52124
10.78253,5.82597,10.19098,14.56415,11.68992,5.88953,11.00572,7.62798,9.70834
12.46176,9.60836,11.1346,8.98118,3.58799,9.50257,11.48579,18.86291,9.03234
7.0942,11.21429,9.59411,11.77676,9.5138,12.7685,10.77813,8.45752,11.44249
7.6858,7.98952,9.85132,14.95049,11.02065,12.04101,7.24344,10.92126,12.74193
11.08956,7.47887,10.17976,9.43949,7.79606,4.9566,12.52169,11.14663,5.39512
5.8985,11.53843,8.7584,10.60681,11.8906,8.19579,7.38211,11.43901,11.28131
14.54846,10.79777,14.5808,8.58796,9.77786,10.74316,12.38924,10.34674,10.68286
11.19179,10.06659,12.96172,8.80087,7.13606,12.71823,8.95259,12.99229,11.20247
9.32033,8.99728,12.85799,6.32471,8.20612,8.86795,13.04304,13.48116,9.70795
9.75508,9.88686,8.80391,12.93954,10.46414,8.16328,9.34117,8.99242,11.1126
12.8922,11.55973,11.21426,10.25361,7.87201,9.28191,10.20541,10.93779,8.97961
5.31067,7.70701,12.46469,13.18538,11.147,6.63798,11.4835,13.8229,8.02285
13.31773,9.41386,13.42283,9.78768,10.18849,10.76186,13.00416,15.1628,8.80825
8.8535,7.19182,11.22813,12.34086,9.30538,13.18816,7.62006,11.02991,12.61018
14.24534,12.4445,10.95675,10.82792,7.36151,11.44882,10.0305,11.11284,11.69095
9.07734,5.21527,11.35542,12.02446,7.30396,15.51449,8.5613,11.36841,15.62668
9.91985,8.83664,14.63322,12.17576,10.76586,15.69928,5.47881,11.03622,18.24703
6.26167,8.32647,7.65771,12.17538,12.27716,8.0991,8.43029,8.13199,13.69149
9.16689,10.65307,7.35574,12.44368,12.48789,8.18126,6.13733,7.10784,13.07649
9.67662,8.89782,11.44482,11.72283,9.26615,13.21464,9.7169,9.48686,13.07693
6.13082,9.08764,9.08187,6.58296,15.14634,3.56754,9.36765,8.36067,10.47027
15.12649,13.73979,10.12816,7.89692,13.0711,4.95831,6.88274,14.37061,4.37436
8.81115,7.30893,13.33923,13.86694,7.2403,10.57587,7.38558,15.22867,10.79554
9.99233,11.10571,12.87023,14.25884,11.47115,9.98434,10.15846,11.40251,6.73876
11.4792,10.50749,7.79924,11.60715,12.21617,8.55632,10.9025,8.61393,10.32233
8.15619,7.23451,8.40248,12.06764,12.27854,9.77662,9.22138,7.61538,13.86159
11.43292,8.84327,12.59924,6.89127,11.94065,5.84336,10.67745,12.97971,4.46034
6.96883,9.64694,8.06871,7.9816,13.47308,4.78831,14.37037,9.6454,10.61981
10.51947,9.15506,12.30178,10.8397,9.59542,13.25446,4.33873,10.28586,11.69345
7.47644,9.36719,8.40279,12.64885,11.61924,8.46245,9.59413,9.44044,11.87505
15.64701,13.36838,12.91459,14.90785,5.76016,11.3123,13.27156,13.88437,6.26543
12.17962,12.17451,14.3126,12.2003,12.11768,5.43068,11.08923,10.65021,9.6451
12.67141,16.07069,12.58135,12.04489,8.89569,10.16381,10.44434,7.25026,10.54226
11.72846,7.88613,12.25712,13.45696,6.49266,12.59802,8.24464,14.6786,9.64761
9.61004,11.10499,11.14441,9.35472,8.68533,12.99175,10.13405,9.44361,10.72731
9.83009,9.00085,11.45071,8.54256,7.2248,7.03205,13.35768,10.9599,7.00804
9.15557,9.78844,11.63006,11.40388,8.07192,14.81266,8.57417,9.24367,12.26783
14.14299,8.49924,11.47181,11.42614,6.97073,7.43889,11.56737,12.52247,7.42053
8.92993,9.78267,12.87765,12.1689,9.06158,12.66949,7.40153,9.67687,13.21058
8.98396,12.93302,14.44375,13.39649,9.4106,11.59488,9.8923,13.8791,10.27048
10.13182,8.39774,13.39864,15.8517,6.83449,13.03602,7.62463,15.1362,9.94915
6.14527,11.05752,8.73147,13.70726,6.01928,13.42193,9.86407,8.37778,8.54931
11.1299,9.45857,13.37619,7.88577,9.81241,10.11116,10.0899,12.79298,11.46503
9.74219,7.67652,11.60841,12.54838,9.25122,13.11168,9.66089,12.51854,14.29071
8.66772,10.63189,7.69155,12.93564,9.81456,7.4146,8.42912,9.85236,10.2422
5.33756,6.56586,11.31002,14.55757,11.29362,12.50059,10.68217,12.33871,14.80282
9.33557,6.89237,12.60844,11.28008,10.99629,12.87746,7.48141,12.73181,16.33656
12.22988,13.77218,11.65305,15.88905,10.87127,8.52133,9.7227,10.06551,5.66854
5.88721,9.28117,12.65647,12.17771,9.57898,9.77243,9.5291,13.6006,12.97246
8.40201,8.60456,14.8916,11.7371,10.64829,11.46983,9.04013,12.80974,16.25559
11.82019,8.81884,15.89498,4.75342,10.09945,9.57961,11.81897,10.26326,12.51077
7.10753,7.19832,9.65007,10.75012,13.61272,9.37018,6.12421,6.90378,15.85365
9.3619,10.53405,10.081,9.77402,10.17763,9.4349,12.79345,13.37699,8.63745
14.56248,17.10311,11.50146,14.79746,6.81743,12.09286,11.84977,8.61836,6.79253
7.67785,8.03801,13.94384,9.64446,9.09686,13.34729,9.5609,14.37757,15.00159
8.01413,9.23421,7.96875,12.3254,11.17592,9.61672,8.90832,9.62838,11.36261
9.63201,7.78557,6.70789,12.68411,12.08984,11.12872,9.39881,7.88476,12.26242
6.98739,11.81978,10.64984,15.4132,4.7476,13.51856,9.96002,9.64723,8.85328
12.15437,10.79021,14.45358,10.61643,8.21855,14.57424,6.43377,10.56047,13.06486
11.99921,9.13869,11.5753,8.29571,7.54563,5.80757,11.81545,10.64478,5.31038
6.59087,8.89218,11.32433,9.26912,14.99229,5.02465,9.64051,9.76481,11.07434
10.74067,6.89504,11.56839,13.77607,8.01104,13.42366,5.33688,11.00503,12.02463
7.28671,8.48891,12.03175,14.19415,8.13875,9.7401,12.28909,13.93716,9.99407
8.58133,9.84399,6.0218,13.33025,11.04681,9.37744,10.39357,8.21948,12.82705
12.58694,8.21555,6.98171,15.13397,7.31264,11.34939,8.11761,7.57966,11.54969
11.11132,10.09254,6.53961,13.97088,9.46006,6.63045,9.52204,8.16524,9.88893
8.99601,6.60338,11.62907,14.16773,7.52241,13.08317,5.31742,14.96362,9.87424
10.40531,10.95476,11.10856,7.26493,7.47606,10.38851,14.17965,11.21708,11.23713
9.32865,10.55495,12.74331,9.9836,10.4412,11.60201,7.8594,12.63757,11.99704
17.70678,11.07788,14.20356,7.58438,9.97465,7.23963,8.39416,10.95966,7.12211
9.71082,9.14608,13.27912,14.77644,4.59475,10.59733,12.03841,14.01623,9.26051
11.55053,8.22136,8.65311,12.24105,11.55134,8.61746,12.48381,12.41016,7.84311
8.65134,11.42402,7.70519,10.4014,13.69769,10.58173,9.32518,11.49348,11.35468
