ts	imei	mwra	p.android.externalstorage	p.system	p.android.packageinstaller	p.android.settings	p.android.chrome	p.android.gm	p.android.documentsui	p.process.gapps	p.gms.persistent	p.notifier	p.olauncher	p.dogalize	p.android.gms	p.simulator	p.katana	p.inputmethod.latin	p.browser.provider	p.android.defcontainer	p.android.vending	p.google
2018-05-05 10:00:00	863033069630348727	0.00000	12.71345	13.93596	7.37375	8.63678	7.59294	14.50294	12.49939	0.00164	76.86779	55.46612	42.36961	24.39972	38.28394	39.75150	70.08727	35.39702	46.96978	94.36793	19.26230	8.71761
2018-05-05 10:01:00	359043379931766122	1.00000	14.00354	13.66329	8.76390	8.45907	11.54816	9.23023	10.96660	0.00554	49.60970	37.20796	43.50996	96.63160	35.35377	8.57826	21.30530	74.91400	28.78964	98.36045	2.67159	96.75896
2018-05-05 10:02:00	359043379931766312	0.00000	9.12135	12.02995	15.24475	5.03619	9.25225	11.32397	8.95241	0.00047	50.94870	46.46566	62.37735	72.10850	55.73124	85.87342	32.33386	55.19794	89.99140	80.51936	37.73145	89.03029
2018-05-05 10:03:00	8630330696303482329	0.00000	10.02552	10.88392	15.14466	4.58649	7.65930	12.54341	6.13562	0.00046	36.39616	36.14169	46.12254	40.36473	21.76176	0.98452	50.83786	90.78544	49.59389	51.32614	90.17701	39.10998
2018-05-05 10:04:00	3590433799317661099	1.00000	10.18964	10.99286	8.52306	10.09407	13.85506	9.55446	7.87986	0.03576	28.61816	63.83150	70.66280	51.37859	74.10500	42.63423	19.35378	47.21558	95.60708	96.18907	21.60796	33.91152
2018-05-05 10:05:00	3590433799317661883	1.00000	14.29046	7.03492	11.83559	9.21973	8.27916	5.89546	5.67074	0.00164	54.89347	49.73172	44.59781	35.14358	91.39135	22.23963	4.30888	48.08002	14.04611	82.91701	0.63124	47.85264
2018-05-05 10:06:00	8630330696303482360	1.00000	8.23690	11.74001	7.09728	8.92398	12.75610	9.55576	9.77487	0.00175	49.93694	61.43535	44.33198	59.78593	84.28853	7.51039	98.18825	37.90731	83.46741	64.31548	34.65867	97.71705
2018-05-05 10:07:00	8630330696303481719	0.00000	11.97570	12.09746	8.55486	8.96843	9.43042	11.87483	9.93298	0.00105	44.32685	45.18177	62.24876	69.37164	61.97411	51.92603	53.63060	15.43956	22.34031	56.14893	95.68503	73.11325
2018-05-05 10:08:00	359043379931766361	1.00000	8.68109	10.64433	12.11146	8.05497	7.32587	13.20934	11.38772	0.00015	41.14953	65.78126	55.20850	2.23325	57.84050	25.98865	56.19588	41.54275	53.53760	91.03482	9.75511	12.71122
2018-05-05 10:09:00	863033069630348701	1.00000	11.29658	13.30580	8.82682	11.08441	12.19900	8.73436	8.89802	0.85961	47.23328	59.58286	42.06173	56.68545	30.72210	2.84950	97.25725	53.74164	87.66656	6.99183	41.59879	60.73528
2018-05-05 10:10:00	3590433799317662352	0.00000	9.38073	7.55119	11.82926	6.86768	6.97617	11.16574	9.69278	0.00039	65.28860	41.03709	30.26097	25.92936	12.21877	86.82720	92.91051	44.83373	53.78997	92.17784	90.63565	95.06451
2018-05-05 10:11:00	3590433799317661917	1.00000	8.64339	10.94994	10.20216	11.60533	13.19046	9.52108	6.99968	0.39459	70.53232	64.94202	43.51165	38.16029	45.25890	31.49141	72.39974	32.89999	74.37531	72.95376	37.05868	4.52797
2018-05-05 10:12:00	863033069630348222	1.00000	8.88734	7.02026	8.54759	14.32321	9.16095	8.26160	10.31164	0.03261	49.79847	32.01978	29.66747	3.70607	93.06722	55.48476	56.41124	42.81551	60.79438	29.92838	37.19098	58.27625
2018-05-05 10:13:00	359043379931766130	1.00000	14.96091	14.83276	6.58992	6.30428	10.29235	7.21599	8.27847	0.00990	56.54674	40.78166	44.55928	47.92859	54.66036	24.32641	33.69825	47.23564	4.81765	19.84533	19.95570	12.32334
2018-05-05 10:14:00	863033069630348099	1.00000	10.78596	14.11157	10.56510	9.58358	10.18792	11.18490	9.73104	0.01905	61.64492	63.12602	49.74381	31.92782	85.55739	40.42296	11.60556	8.73421	78.76338	87.71768	9.01821	51.21004
2018-05-05 10:15:00	863033069630348594	1.00000	16.38430	8.96709	10.85303	10.54375	10.12129	7.38555	6.07753	0.00391	62.83875	53.53970	55.28091	74.53386	9.10378	15.39053	84.60896	78.37797	56.09137	50.85620	3.33676	61.02648
2018-05-05 10:16:00	3590433799317661982	1.00000	14.56415	10.19098	13.11163	11.68992	5.88953	10.78253	5.82597	0.00180	79.07972	43.73774	46.12020	71.01994	93.14908	64.45600	95.66887	50.10986	25.10325	85.38022	53.02146	10.92565
2018-05-05 10:17:00	359043379931766205	0.00000	8.98118	11.13460	6.97391	3.58799	9.50257	12.46176	9.60836	0.00109	43.89440	49.94458	44.57766	16.96977	59.07540	64.94340	85.73685	8.67482	18.07046	76.76983	20.63673	80.54717
2018-05-05 10:18:00	863033069630348396	1.00000	11.77676	9.59411	10.38363	9.51380	12.76850	7.09420	11.21429	0.00955	47.02071	43.48778	49.33744	41.84592	85.01806	34.72377	38.81457	41.02963	71.71783	75.55798	79.39840	19.76569
2018-05-05 10:19:00	3590433799317661230	1.00000	14.95049	9.85132	13.46676	11.02065	12.04101	7.68580	7.98952	0.03475	43.69116	56.40762	54.87182	4.23194	70.96637	32.59600	64.69613	96.31968	20.51094	58.96475	57.57386	68.81437
2018-05-05 10:20:00	8630330696303482204	0.00000	9.43949	10.17976	7.66124	7.79606	4.95660	11.08956	7.47887	0.00012	38.93343	44.57399	31.27125	61.18252	6.61500	43.10394	38.65040	42.18699	10.97447	9.20106	34.57907	97.74788
2018-05-05 10:21:00	8630330696303481982	1.00000	10.60681	8.75840	12.38122	11.89060	8.19579	5.89850	11.53843	0.00810	64.99821	44.02805	49.56386	47.42573	88.83428	41.20900	53.78334	2.64964	45.94540	66.92528	81.56987	97.27811
2018-05-05 10:22:00	863033069630348305	0.00000	8.58796	14.58080	8.33136	9.77786	10.74316	14.54846	10.79777	0.00451	69.72819	49.02093	54.82477	59.08561	23.29671	54.95089	26.03811	24.20014	71.92689	89.39577	92.53570	31.35860
2018-05-05 10:23:00	3590433799317662337	1.00000	8.80087	12.96172	9.63287	7.13606	12.71823	11.19179	10.06659	0.00742	47.56536	52.01477	56.53431	29.46661	58.99104	11.87880	54.76159	77.49488	59.90453	31.47826	23.12003	29.38018
