latitude	longitude	store_name	code	location	imei
30.35028	112.19028	Jingzhou	CN	Asia/Shanghai	359043379931766676
40.65995	-111.99633	Kearns	US	America/Denver	359043379931766486
16.0567	103.65309	Roi Et	TH	Asia/Bangkok	359043379931766536
-17.73648	168.31366	Port-Vila	VU	Pacific/Efate	359043379931766833
4.96667	10.7	Tonga	CM	Africa/Douala	8630330696303481743
48	-4.1	Quimper	FR	Europe/Paris	3590433799317662212
40.87363	14.34085	Volla	IT	Europe/Rome	3590433799317661503
13.56667	-15.6	Farafenni	GM	Africa/Banjul	359043379931766650
45.9836	12.70038	Cordenons	IT	Europe/Rome	359043379931766874
39.09112	-94.41551	Independence	US	America/Chicago	3590433799317661826
26.76628	83.36889	Gorakhpur	IN	Asia/Kolkata	3590433799317661966
36.91023	-121.75689	Watsonville	US	America/Los_Angeles	8630330696303481487
23.02677	113.13148	Foshan	CN	Asia/Shanghai	863033069630348917
10.58806	77.24779	Udumalaippettai	IN	Asia/Kolkata	359043379931766056
50.82709	6.9747	Wesseling	DE	Europe/Berlin	359043379931766221
56.9083	60.8019	Beryozovsky	RU	Asia/Yekaterinburg	3590433799317662295
19.64745	-102.04897	Paracho de Verduzco	MX	America/Mexico_City	8630330696303482139
10.15031	-73.9614	El Copey	CO	America/Bogota	359043379931766049
51.26	-2.1875	Westbury	GB	Europe/London	3590433799317661594
41.77583	140.73667	Hakodate	JP	Asia/Tokyo	359043379931766106
14.8361	120.97844	Guyong	PH	Asia/Manila	8630330696303482337
58.1908	40.17171	Danilov	RU	Europe/Moscow	359043379931766817
41.91738	3.1631	Palafrugell	ES	Europe/Madrid	863033069630348818
38.91817	-78.19444	Front Royal	US	America/New_York	3590433799317662154
-20.87306	-48.29694	Viradouro	BR	America/Sao_Paulo	359043379931766338
38.54491	-121.74052	Davis	US	America/Los_Angeles	3590433799317661446
51.39323	0.47713	Strood	GB	Europe/London	3590433799317661909
3.02013	30.91105	Arua	UG	Africa/Kampala	3590433799317662121
50.06	43.2379	Mikhaylovka	RU	Europe/Volgograd	8630330696303481644
33.45122	-86.99666	Hueytown	US	America/Chicago	8630330696303481974
38.17492	-122.2608	American Canyon	US	America/Los_Angeles	8630330696303481891
27.71809	-82.35176	Sun City Center	US	America/New_York	359043379931766999
33.72255	-116.37697	Palm Desert	US	America/Los_Angeles	3590433799317662071
14.46693	75.92694	Davangere	IN	Asia/Kolkata	3590433799317662121
42.7392	-84.62081	Waverly	US	America/Detroit	359043379931766262
40.64621	-73.97069	Kensington	US	America/New_York	359043379931766726
36.81667	117.81667	Zhoucun	CN	Asia/Shanghai	3590433799317661123
33.37526	74.3092	Rajaori	IN	Asia/Kolkata	863033069630348222
47.76232	-122.2054	Bothell	US	America/Los_Angeles	8630330696303481982
48.35693	10.98461	Friedberg	DE	Europe/Berlin	8630330696303482154
36.76775	2.95924	Cheraga	DZ	Africa/Algiers	3590433799317662238
42.30865	-83.48216	Canton	US	America/Detroit	863033069630348826
41.47892	-87.45476	Schererville	US	America/Chicago	3590433799317661370
41.6764	-91.58045	Coralville	US	America/Chicago	359043379931766528
52.21099	7.02238	Gronau	DE	Europe/Berlin	3590433799317661628
12.74409	-8.07257	Kati	ML	Africa/Bamako	863033069630348362
48.35149	8.96317	Hechingen	DE	Europe/Berlin	3590433799317662121
42.8139	-1.64295	Segundo Ensanche	ES	Europe/Madrid	8630330696303482121
37.05944	37.3825	Gaziantep	TR	Europe/Istanbul	8630330696303481438
-8.73508	24.99798	Kamina	CD	Africa/Lubumbashi	8630330696303481388
51.82721	107.60627	Ulan-Ude	RU	Asia/Irkutsk	359043379931766551
-2.90055	-79.00453	Cuenca	EC	America/Guayaquil	8630330696303481719
36.61033	-88.31476	Murray	US	America/Chicago	359043379931766957
-14.66463	-52.35558	Nova Xavantina	BR	America/Cuiaba	863033069630348438
30.29184	71.67164	Qadirpur Ran	PK	Asia/Karachi	3590433799317661578
43.61092	3.87723	Montpellier	FR	Europe/Paris	8630330696303482436
9.58126	8.2926	Kafanchan	NG	Africa/Lagos	863033069630348784
42.62833	20.89389	Glogovac	XK	Europe/Belgrade	3590433799317661255
9.58126	8.2926	Kafanchan	NG	Africa/Lagos	3590433799317662071
31.78336	35.23388	East Jerusalem	PS	Asia/Hebron	3590433799317661289
56.03361	35.96944	Volokolamsk	RU	Europe/Moscow	8630330696303482220
6.8485	3.64633	Shagamu	NG	Africa/Lagos	863033069630348123
10.31672	123.89071	Cebu City	PH	Asia/Manila	8630330696303482162
45.51667	4.86667	Vienne	FR	Europe/Paris	863033069630348461
38.58894	-89.99038	Fairview Heights	US	America/Chicago	8630330696303481255
21.01858	-101.2591	Guanajuato	MX	America/Mexico_City	359043379931766601
50.09019	8.4493	Hofheim am Taunus	DE	Europe/Berlin	8630330696303481123
-6.91806	106.92667	Sukabumi	ID	Asia/Jakarta	8630330696303481784
26.67319	31.4976	Juhaynah	EG	Africa/Cairo	359043379931766528
36.33011	138.89585	Annaka	JP	Asia/Tokyo	3590433799317661701
1.6	103.81667	Ulu Tiram	MY	Asia/Kuala_Lumpur	8630330696303481032
20.22816	-103.5687	Zacoalco de Torres	MX	America/Mexico_City	3590433799317662394
47.4943	-122.24092	Bryn Mawr-Skyway	US	America/Los_Angeles	359043379931766734
10.63504	-85.43772	Liberia	CR	America/Costa_Rica	3590433799317661305
48.35693	10.98461	Friedberg	DE	Europe/Berlin	3590433799317662329
51.40944	46.04833	Privolzhskiy	RU	Europe/Saratov	3590433799317661610
39.96348	-4.83076	Talavera de la Reina	ES	Europe/Madrid	3590433799317661263
45.51667	4.86667	Vienne	FR	Europe/Paris	863033069630348131
32.52515	-93.75018	Shreveport	US	America/Chicago	863033069630348834
24.96334	10.18003	Ghat	LY	Africa/Tripoli	359043379931766981
53.6052	10.03988	Barmbek-Nord	DE	Europe/Berlin	359043379931766486
-8.76194	-63.90389	Porto Velho	BR	America/Porto_Velho	3590433799317661164
53.83333	-2.98333	Poulton-le-Fylde	GB	Europe/London	863033069630348974
46.08333	122.08333	Ulanhot	CN	Asia/Shanghai	3590433799317662147
45.69558	4.7934	Saint-Genis-Laval	FR	Europe/Paris	863033069630348479
35.05266	-78.87836	Fayetteville	US	America/New_York	359043379931766866
-2.68333	33	Usagara	TZ	Africa/Dar_es_Salaam	8630330696303481891
23.18	88.58	Aistala	IN	Asia/Kolkata	359043379931766072
54.39304	53.26023	Bavly	RU	Europe/Moscow	3590433799317661529
39.32288	-76.72803	Woodlawn	US	America/New_York	8630330696303481586
-3.74912	-73.25383	Iquitos	PE	America/Lima	3590433799317661990
47.56494	31.33078	Voznesensk	UA	Europe/Kyiv	863033069630348420
18.03496	-66.8499	Yauco	PR	America/Puerto_Rico	863033069630348289
34.09611	-118.10583	San Gabriel	US	America/Los_Angeles	863033069630348503
22.98212	-80.58556	Corralillo	CU	America/Havana	3590433799317661420
-33.75881	150.99292	Baulkham Hills	AU	Australia/Sydney	8630330696303481347
50.88506	4.07601	Denderleeuw	BE	Europe/Brussels	359043379931766502
32.5007	-94.74049	Longview	US	America/Chicago	8630330696303481776
-4.16694	-40.7475	Guaraciaba do Norte	BR	America/Fortaleza	863033069630348248
35.82756	137.95378	Ina	JP	Asia/Tokyo	8630330696303481354
37.30553	120.82747	Zhuangyuan	CN	Asia/Shanghai	3590433799317661024
38.40917	112.73333	Xinzhou	CN	Asia/Shanghai	8630330696303482295
-4.42472	-41.45861	Pedro II	BR	America/Fortaleza	863033069630348859
50.80904	8.77069	Marburg an der Lahn	DE	Europe/Berlin	3590433799317662048
51.12794	4.21372	Temse	BE	Europe/Brussels	8630330696303481024
48.98333	2.61667	Mitry-Mory	FR	Europe/Paris	863033069630348537
41.84364	-87.71255	South Lawndale	US	America/Chicago	8630330696303481792
9.92787	-84.13722	San Rafael	CR	America/Costa_Rica	8630330696303481339
40.56754	-89.64066	Pekin	US	America/Chicago	8630330696303481875
12.74409	-8.07257	Kati	ML	Africa/Bamako	863033069630348180
41.91886	8.73812	Ajaccio	FR	Europe/Paris	359043379931766122
46.7055	38.2739	Yeysk	RU	Europe/Moscow	3590433799317661172
51.19139	6.51352	Korschenbroich	DE	Europe/Berlin	3590433799317661347
7.83389	-72.47417	Villa del Rosario	CO	America/Bogota	863033069630348784
32.87533	71.57118	Daud Khel	PK	Asia/Karachi	8630330696303482329
57.47908	-4.22398	Inverness	GB	Europe/London	3590433799317661149
53.95278	32.86389	Roslavl’	RU	Europe/Moscow	3590433799317661628
38.55632	69.01354	Vahdat	TJ	Asia/Dushanbe	3590433799317662196
-1.6	103.61667	Jambi City	ID	Asia/Jakarta	8630330696303481594
27.55898	68.21204	Larkana	PK	Asia/Karachi	359043379931766486
-1.9487	30.4347	Rwamagana	RW	Africa/Kigali	3590433799317662220
50.64336	7.2278	Bad Honnef	DE	Europe/Berlin	8630330696303482006
41.55838	-81.56929	Collinwood	US	America/New_York	359043379931766353
53.59337	9.47629	Stade	DE	Europe/Berlin	863033069630348610
41.15376	-87.88754	Bourbonnais	US	America/Chicago	8630330696303481644
33.92946	-116.97725	Beaumont	US	America/Los_Angeles	359043379931766593
52.48173	-2.12139	Brierley Hill	GB	Europe/London	8630330696303481602
55.8736	85.4265	Yashkino	RU	Asia/Novokuznetsk	8630330696303482287
56.85836	35.90057	Tver	RU	Europe/Moscow	3590433799317661453
41.15612	1.10687	Reus	ES	Europe/Madrid	3590433799317661800
46.65581	32.6178	Kherson	UA	Europe/Kyiv	359043379931766031
48.49144	9.20427	Reutlingen	DE	Europe/Berlin	863033069630348446
40.24537	-75.64963	Pottstown	US	America/New_York	359043379931766726
27.76056	-15.58602	Maspalomas	ES	Atlantic/Canary	3590433799317661271
38.17492	-122.2608	American Canyon	US	America/Los_Angeles	3590433799317661933
48.07667	8.64409	Trossingen	DE	Europe/Berlin	8630330696303481628
-44.39672	171.25364	Timaru	NZ	Pacific/Auckland	3590433799317661610
